"title","author","author_url","rating","voters_count","url"
"Happy Endings Are All Alike","Sandra Scoppettone","https://www.goodreads.com/author/show/24374.Sandra_Scoppettone","3.53","283","https://goodreads.com/book/show/43285.Happy_Endings_Are_All_Alike"
"The Cat in the Cradle (Loka Legends, #1)","Jay Bell","https://www.goodreads.com/author/show/3456705.Jay_Bell","3.82","765","https://goodreads.com/book/show/7963986-the-cat-in-the-cradle"
"Blood Drunk: Faded Blue","Angela Lovell","https://www.goodreads.com/author/show/4763975.Angela_Lovell","4.02","59","https://goodreads.com/book/show/12775842-blood-drunk"
"What Night Brings","Carla Trujillo","https://www.goodreads.com/author/show/58221.Carla_Trujillo","4.17","536","https://goodreads.com/book/show/574267.What_Night_Brings"
"Clean","Amy Reed","https://www.goodreads.com/author/show/2871046.Amy_Reed","4.01","6812","https://goodreads.com/book/show/9491739-clean"
"The Art of Wishing (The Art of Wishing, #1)","Lindsay Ribar","https://www.goodreads.com/author/show/5771853.Lindsay_Ribar","3.67","2139","https://goodreads.com/book/show/13530566-the-art-of-wishing"
"When We Were Good","Suzanne  Sutherland","https://www.goodreads.com/author/show/6928304.Suzanne_Sutherland","3.77","81","https://goodreads.com/book/show/17076485-when-we-were-good"
"Jack of Hearts (and Other Parts)","Lev A.C. Rosen","https://www.goodreads.com/author/show/4731557.Lev_A_C_Rosen","3.89","3266","https://goodreads.com/book/show/35442720-jack-of-hearts"
"Distant Rumblings (Lords of Arcadia, #1)","John  Goode","https://www.goodreads.com/author/show/4890658.John_Goode","3.85","414","https://goodreads.com/book/show/13555608-distant-rumblings"
"Strawberry Shake, Vol. 1","Shizuru Hayashiya","https://www.goodreads.com/author/show/24608.Shizuru_Hayashiya","4.26","81","https://goodreads.com/book/show/6270012-strawberry-shake-vol-1"
"The Course of True Love [and First Dates] (The Bane Chronicles, #10)","Cassandra Clare","https://www.goodreads.com/author/show/150038.Cassandra_Clare","4.33","10941","https://goodreads.com/book/show/17334065-the-course-of-true-love-and-first-dates"
"When Ryan Came Back","Devon McCormack","https://www.goodreads.com/author/show/7327303.Devon_McCormack","3.78","104","https://goodreads.com/book/show/23437984-when-ryan-came-back"
"Crush","Carrie Mac","https://www.goodreads.com/author/show/360816.Carrie_Mac","3.72","1864","https://goodreads.com/book/show/673509.Crush"
"Dangerous Angels (Weetzie Bat, #1-5)","Francesca Lia Block","https://www.goodreads.com/author/show/9072.Francesca_Lia_Block","4.24","8706","https://goodreads.com/book/show/14565.Dangerous_Angels"
"The Flywheel","Erin Gough","https://www.goodreads.com/author/show/6579232.Erin_Gough","3.64","1871","https://goodreads.com/book/show/19488665-the-flywheel"
"My Most Excellent Year","Steve Kluger","https://www.goodreads.com/author/show/65944.Steve_Kluger","4.04","7505","https://goodreads.com/book/show/1189878.My_Most_Excellent_Year"
"One of Us Is Lying (One of Us is Lying, #1)","Karen M. McManus","https://www.goodreads.com/author/show/15127507.Karen_M_McManus","4.05","212253","https://goodreads.com/book/show/32571395-one-of-us-is-lying"
"The Pining of Kevin Harding","Devon McCormack","https://www.goodreads.com/author/show/7327303.Devon_McCormack","3.54","92","https://goodreads.com/book/show/21848626-the-pining-of-kevin-harding"
"Moonstone: The Boy Who Never Was","Sjón","https://www.goodreads.com/author/show/424265.Sj_n","3.67","2936","https://goodreads.com/book/show/26114180-moonstone"
"The Queen's Librarian","Carole Cummings","https://www.goodreads.com/author/show/4520226.Carole_Cummings","3.77","277","https://goodreads.com/book/show/18168993-the-queen-s-librarian"
"The Infinite Noise (The Bright Sessions, #1)","Lauren Shippen","https://www.goodreads.com/author/show/17843273.Lauren_Shippen","4.01","3979","https://goodreads.com/book/show/44162916-the-infinite-noise"
"Reclamation (Acclamation #2)","Vee Hoffman","https://www.goodreads.com/author/show/6552307.Vee_Hoffman","4.28","255","https://goodreads.com/book/show/17228002-reclamation"
"Vampire Knight, Tome 19 (Vampire Knight, #19)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.1","2317","https://goodreads.com/book/show/20341911-vampire-knight-tome-19"
"Just Making Out","Mark A. Roeder","https://www.goodreads.com/author/show/141588.Mark_A_Roeder","4.16","91","https://goodreads.com/book/show/9638771-just-making-out"
"Half Bad (The Half Bad Trilogy, #1)","Sally Green","https://www.goodreads.com/author/show/7314532.Sally_Green","3.78","42837","https://goodreads.com/book/show/18079804-half-bad"
"The Island of Excess Love (Love in the Time of Global Warming, #2)","Francesca Lia Block","https://www.goodreads.com/author/show/9072.Francesca_Lia_Block","3.47","586","https://goodreads.com/book/show/18490721-the-island-of-excess-love"
"Into the Blue","Pene Henson","https://www.goodreads.com/author/show/14918436.Pene_Henson","4.03","578","https://goodreads.com/book/show/30141603-into-the-blue"
"Supernatural: John Winchester's Journal","Alexander C. Irvine","https://www.goodreads.com/author/show/3399330.Alexander_C_Irvine","3.9","3510","https://goodreads.com/book/show/8124296-supernatural"
"Infamous","Allison Stowe","https://www.goodreads.com/author/show/17390926.Allison_Stowe","4.37","19","https://goodreads.com/book/show/36738765-infamous"
"The Sweet In-Between","Sheri Reynolds","https://www.goodreads.com/author/show/3520.Sheri_Reynolds","3.35","776","https://goodreads.com/book/show/5043829-the-sweet-in-between"
"The Lady's Guide to Petticoats and Piracy (Montague Siblings, #2)","Mackenzi Lee","https://www.goodreads.com/author/show/7327341.Mackenzi_Lee","4.1","23846","https://goodreads.com/book/show/37880094-the-lady-s-guide-to-petticoats-and-piracy"
"The Unseen Tempest (Lords of Arcadia, #3)","John  Goode","https://www.goodreads.com/author/show/4890658.John_Goode","4.25","119","https://goodreads.com/book/show/22517835-the-unseen-tempest"
"Dare Me","Megan Abbott","https://www.goodreads.com/author/show/29593.Megan_Abbott","3.22","25021","https://goodreads.com/book/show/12982393-dare-me"
"Calli","Jessica Lee Anderson","https://www.goodreads.com/author/show/1164574.Jessica_Lee_Anderson","3.5","80","https://goodreads.com/book/show/10459081-calli"
"The Black Flamingo","Dean Atta","https://www.goodreads.com/author/show/6483308.Dean_Atta","4.47","8259","https://goodreads.com/book/show/41020406-the-black-flamingo"
